,pred_o,pred_pi,pred_pc,pred_li,pred_lc
true_o,982,19,82,0,4
true_pi,4,8,1,0,0
true_pc,10,0,18,0,0
true_li,1,0,0,0,0
true_lc,2,0,0,0,0
